property,domain,range
NAME,PERSON,string
OLD_NAME,PERSON,string
ALIAS,PERSON,string
EN_GIV_NAME,PERSON,string
BIRTHDAY,PERSON,string
SEX,PERSON,string
ORG_PLACE,PERSON,string
BIRTH_PLACE,PERSON,string
HJD_ADDR,PERSON,string
NATION,PERSON,string
NATIONNALITY,PERSON,string
CERT_PHOTO,PERSON,string
EDUCATION,PERSON,string
MARR,PERSON,string
POL_AFF,PERSON,string
RELIGION,PERSON,string
PROF,PERSON,string
MILIT_COND,PERSON,string
PER_TAG,PERSON,string
QQ_NUM,QQ,string
USER_MARK,QQ,string
NICKNAME,QQ,string
FST_DATE_FS,QQ,string
LST_DATE_FS,QQ,string
MOB,Tel,int
MOB_REM_NAME,Tel,string
MOB_OPT,Tel,string
MOB_ATTR,Tel,string
MOB_CARD_TYPE,Tel,string
MOB_REG_DATE_FS,Tel,string
INSTALL_ADDR,Tel,string
FST_DATE_FS,Tel,string
LST_DATE_FS,Tel,string
UIN,Wechat,string
WX,Wechat,string
USER_MARK,Wechat,string
NICKNAME,Wechat,string
FST_DATE_FS,Wechat,string
LST_DATE_FS,Wechat,string
EMAIL,Email,string
DOMAIN,Email,string
USER_MARK,Email,string
FST_DATE_FS,Email,string
LST_DATE_FS,Email,string
WEIBO_UID,Mblog,string
WEIBO,Mblog,string
USER_MARK,Mblog,string
NICKNAME,Mblog,string
FST_DATE_FS,Mblog,string
LST_DATE_FS,Mblog,string
WANGWANG,Douyin,string
USER_MARK,Douyin,string
NICKNAME,Douyin,string
FST_DATE_FS,Douyin,string
LST_DATE_FS,Douyin,string
WANGWANG,Jingdong,string
USER_MARK,Jingdong,string
NICKNAME,Jingdong,string
FST_DATE_FS,Jingdong,string
LST_DATE_FS,Jingdong,string
WANGWANG,Zhifubao,string
USER_MARK,Zhifubao,string
NICKNAME,Zhifubao,string
FST_DATE_FS,Zhifubao,string
LST_DATE_FS,Zhifubao,string
WANGWANG,Taobao,String
USER_MARK,Taobao,String
NICKNAME,Taobao,String
FST_DATE_FS,Taobao,String
LST_DATE_FS,Taobao,String
ADDR_ID,ADDR,string
ADDR_TYPE,ADDR,string
ADDR,ADDR,string
PROVINCE,ADDR,string
CITY,ADDR,string
AREA,ADDR,string
LON,ADDR,float
LAT,ADDR,float
FST_DATE_FS,ADDR,string
LST_DATE_FS,ADDR,string
VEH_FRAM_NO,VEH,string
VEH_TYPE,VEH,string
VEH_COL,VEH,string
VEH_CH_BR,VEH,string
VEH_ENG_NO,VEH,string
VEH_ENG_MOD,VEH,string
VEH_MOD,VEH,string
VEH_REG_DATE,VEH,string
FST_DATE_FS,VEH,string
LST_DATE_FS,VEH,string
KEYID,VEH_LICENSE，string
VEH_COL,VEH_LICENSE，string
DEAL_UNIT,VEH_LICENSE，string
DEAL_AREA,VEH_LICENSE，string
FST_DATE_FS,VEH_LICENSE，string
LST_DATE_FS,VEH_LICENSE，string
MAC,MAC,string
DEV_TYPE,MAC,string
DEV_MANUFA,MAC,string
FST_DATE_FS,MAC,string
LST_DATE_FS,MAC,string
IMEI,IMEI,string
DEV_MANUFA,IMEI,string
FST_DATE_FS,IMEI,string
LST_DATE_FS,IMEI,string
IMSI,IMSI,string
MOB_OPT,IMSI,string
FST_DATE_FS,IMSI,string
LST_DATE_FS,IMSI,string
KEYID,CARD,string
CARD_TYPE,CARD,string
CARD_NO,CARD,string
CAR_OPEN_DATE_FS,CARD,string
FST_DATE_FS,CARD,string
LST_DATE_FS,CARD,string
PHONE,Ftel,string
PHONE_REMARK,Ftel,string
PHONE_OPERAT,Ftel,string
INSTALL_DATE_FS,Ftel,string
PHONE_ADDR,Ftel,string
FST_DATE_FS,Ftel,string
LST_DATE_FS,Ftel,string
CERT_CODE,SFZ,string
TYPE,SFZ,string
PROVINCE,SFZ,string
CITY,SFZ,string
AREA,SFZ,string
NAME,SFZ,string
SEX,SFZ,string
ORG_PLACE,SFZ,string
CERT_PHOTO,SFZ,string
FST_DATE_FS,SFZ,string
LST_DATE_FS,SFZ,string
GROUP_NUM,QiuGroup,string
GROUP_NAME,QiuGroup,string
GROUP_NOT,QiuGroup,string
GROUP_TAG,QiuGroup,string
GROUP_CREATE_DATE_FS,QiuGroup,string
FST_DATE_FS,QiuGroup,string
LST_DATE_FS,QiuGroup,string
GROUP_NUM,WXGroup,string
GROUP_NAME,WXGroup,string
GROUP_CREATE_DATE_FS,WXGroup,string
FST_DATE_FS,WXGroup,string
LST_DATE_FS,WXGroup,string
coId,COMPANY,string
businessRegNo,COMPANY,string
CPNY_ADDR,COMPANY,string
CPNY_NAME,COMPANY,string
CPNY_OTHER_NAME,COMPANY,string
BUSS_RGE,COMPANY,string
industry,COMPANY,string
compStatus,COMPANY,string
REG_DATE_FS,COMPANY,string
TEL,COMPANY,string
EMAIL,COMPANY,string
URL,COMPANY,string
legalPerson,COMPANY,string
unifiedCreditCode,COMPANY,string
regAddr,COMPANY,string
taxpayerID,COMPANY,string
orgCode,COMPANY,string
compType,COMPANY,string
REG_CAP,COMPANY,string
operatingPeriodStart,COMPANY,string
operatingPeriodStop,COMPANY,string
regAuthority,COMPANY,string
approvalDate,COMPANY,string
FST_DATE_FS,COMPANY,string
LST_DATE_FS,COMPANY,string
